"p","q","converged","last_ar_pval","last_ma_pval","ljung_pval","AIC","BIC","valid_coeffs","white_resid"
2,1,TRUE,0.0641603141822056,0,0.81575530418948,-1184.67400051103,-1164.32031187101,FALSE,TRUE
1,2,TRUE,0.0734226722938989,0.0579189238432793,0.774878315092098,-1184.44664828707,-1164.09295964706,FALSE,TRUE
0,2,TRUE,NA,5.25779420001982e-12,0.649679266676556,-1183.48876550619,-1167.20581459418,TRUE,TRUE
1,1,TRUE,3.03979064142368e-13,0,0.464839316960147,-1183.33407074735,-1167.05111983534,TRUE,TRUE
3,1,TRUE,0.915500349647582,0,0.739547599558914,-1182.68524017417,-1158.26081380616,FALSE,TRUE
2,2,TRUE,0.580808532930997,0.9020320986072,0.73976232467703,-1182.68333693551,-1158.25891056749,FALSE,TRUE
3,2,TRUE,NA,NA,0.643196126846392,-1180.73476905902,-1152.239604963,TRUE,TRUE
4,1,TRUE,0.915950078796434,0,0.634146123239253,-1180.69630748925,-1152.20114339323,FALSE,TRUE
4,2,TRUE,0.809993482777164,0.0847915139273294,0.530521536577346,-1178.92926162215,-1146.36335979813,FALSE,TRUE
5,1,TRUE,0.686785351671973,2.79332112995689e-13,0.483050265100091,-1178.84152687063,-1146.27562504661,FALSE,TRUE
5,2,TRUE,0.719156484666823,0.158642333123561,0.438132327939891,-1177.04979456117,-1140.41315500915,FALSE,TRUE
5,0,TRUE,0.00125545534700078,NA,0.237167932999809,-1174.87346447861,-1146.3783003826,TRUE,TRUE
4,0,TRUE,0.00133594191125685,NA,0.0288928089144019,-1166.5932704197,-1142.16884405168,TRUE,FALSE
3,0,TRUE,3.99848640817435e-05,NA,0.00485405864874622,-1158.4239288702,-1138.07024023019,TRUE,FALSE
2,0,TRUE,1.07191140408247e-07,NA,9.64866137266318e-05,-1143.87663656531,-1127.5936856533,TRUE,FALSE
0,1,TRUE,NA,4.47419878923938e-13,7.71398296461889e-07,-1143.82728443357,-1131.61507124957,TRUE,FALSE
1,0,TRUE,1.23686460236083e-05,NA,8.58558220850902e-07,-1118.52404530166,-1106.31183211766,TRUE,FALSE
0,0,TRUE,NA,NA,7.68010085872017e-06,-1101.83819016969,-1093.69671471369,TRUE,FALSE
